name,sku,category,price,purchase_qty,minimum_stock,description,distributor_username
Kanjeevaram Pure Silk,KAN-001,Silk,8500,18,4,"Royal Kanjeevaram silk with traditional temple border design",distributor1
Patola Double Ikat,PAT-001,Silk,6500,20,5,"Traditional Patola silk with intricate double ikat weaving from Gujarat",distributor2
Maheshwari Silk Cotton,MAH-001,Silk,2600,55,12,"Classic Maheshwari fabric with reversible border design",distributor1
Pochampally Ikat,POC-001,Cotton,1850,70,15,"Handwoven Pochampally ikat cotton from Telangana",
Mangalagiri Cotton,MAN-001,Cotton,1100,90,20,"Soft Mangalagiri cotton with zari border, handloom finish",distributor2
Mysore Crepe Silk,MYS-001,Silk,4200,35,8,"Premium Mysore crepe silk known for its luster and drape",distributor1
Paithani Saree Fabric,PAI-001,Silk,7500,15,4,"Exquisite Paithani fabric with peacock motifs and gold border",
Kalamkari Print Cotton,KAL-001,Cotton,1450,60,14,"Hand-painted Kalamkari cotton fabric with mythological designs",distributor2
Ajrakh Block Print,AJR-001,Cotton,1650,50,12,"Traditional Ajrakh block printed cotton from Kutch",distributor1
Bandhani Fabric,BAN-001,Cotton,1350,75,16,"Tie-dye Bandhani fabric from Rajasthan with vibrant patterns",
Satin Silk Premium,SAT-002,Satin,1750,80,18,"Luxurious satin silk with mirror-like sheen",distributor1
Matka Silk Handwoven,MAT-001,Silk,2900,40,10,"Rustic Matka silk with natural slubs, perfect for ethnic wear",distributor2
Uppada Jamdani Silk,UPP-001,Silk,4800,28,6,"Lightweight Uppada silk known for its jamdani weaving technique",
Cotton Cambric,CAM-001,Cotton,550,150,35,"Fine cotton cambric for summer shirts and blouses",distributor1
French Linen Premium,FLN-001,Linen,2850,30,8,"Premium French linen with soft hand feel",distributor2
Tencel Lyocell Blend,TEN-001,Tencel,1400,55,12,"Sustainable Tencel fabric, breathable and biodegradable",
Raw Silk Dupion,DUP-001,Silk,2100,45,10,"Textured dupion raw silk for structured garments",distributor1
Tant Cotton Bengal,TAN-001,Cotton,1200,85,18,"Traditional Bengal Tant cotton with lightweight weave",distributor2
Sambalpuri Ikat,SAM-001,Cotton,1750,48,11,"Authentic Sambalpuri ikat cotton from Odisha",
Muslin Jamdani,MUS-001,Cotton,2200,42,9,"Ultra-fine muslin with delicate jamdani work from Bengal",distributor1
