ProductName,Category,Price,Description,ImageURL
Royal Blue Silk Saree,Sarees,8500,"Elegant royal blue silk saree with intricate zari work and traditional temple border. Perfect for weddings and festive occasions.",https://images.unsplash.com/photo-1610030469983-98e550d6193c?w=800&q=80
Designer Pink Banarasi Saree,Sarees,12000,"Luxurious pink Banarasi saree with rich gold brocade work. Handwoven by master craftsmen.",https://images.unsplash.com/photo-1583391733956-6c78276477e2?w=800&q=80
Cotton Printed Kurti,Kurtis,1200,"Comfortable cotton kurti with traditional block print. Ideal for daily wear and casual outings.",https://images.unsplash.com/photo-1594938298603-c8148c4dae35?w=800&q=80
Embroidered Anarkali Suit,Suits,4500,"Stunning embroidered Anarkali suit with mirror work and thread embroidery. Floor length design.",https://images.unsplash.com/photo-1583391733981-8b530945e78f?w=800&q=80
Raw Silk Fabric (per meter),Fabrics,850,"Premium raw silk fabric in deep maroon. Perfect for blouses and ethnic wear. Width: 44 inches.",https://images.unsplash.com/photo-1558171813-4c088753af8f?w=800&q=80
Chanderi Cotton Dupatta,Dupattas,1800,"Lightweight Chanderi cotton dupatta with golden border. Versatile accessory for any outfit.",https://images.unsplash.com/photo-1610030469968-8cb29f3cfeeb?w=800&q=80
Kalamkari Print Dress Material,Dress Materials,2200,"Traditional Kalamkari print dress material set with unstitched kurta, bottom and dupatta.",https://images.unsplash.com/photo-1558171814-29f4689c5c67?w=800&q=80
Men's Linen Kurta,Mens Ethnic,1600,"Breathable linen kurta for men in classic white. Perfect for summer and festive wear.",https://images.unsplash.com/photo-1598211686290-a8ef209d87c5?w=800&q=80
Bridal Lehenga Set,Lehengas,35000,"Exquisite bridal lehenga with heavy zardozi work. Includes blouse and net dupatta with stone work.",https://images.unsplash.com/photo-1595777457583-95e059d581b8?w=800&q=80
Pashmina Shawl,Shawls,5500,"Authentic Kashmiri pashmina shawl with fine embroidery. Warm and luxuriously soft.",https://images.unsplash.com/photo-1601244005535-a48d21d951ac?w=800&q=80
