date,sku,product_name,category,quantity_sold,selling_price,region
2025-10-01,COT-003,Egyptian Cotton Premium,Cotton,35,2200,North
2025-10-01,SLK-003,Mulberry Silk Pure,Silk,12,4500,West
2025-10-01,WOL-001,Merino Wool Fabric,Wool,8,3200,East
2025-10-02,DEN-001,Stretch Denim,Denim,45,1100,South
2025-10-02,COR-001,Corduroy Fabric,Corduroy,18,1400,Central
2025-10-02,SAT-001,Satin Silk Blend,Satin,22,1900,North
2025-10-03,TWE-001,Tweed Wool Mix,Tweed,10,2800,West
2025-10-03,FLA-001,Flannel Cotton,Flannel,28,1250,East
2025-10-03,POP-001,Poplin Cotton,Cotton,40,950,South
2025-10-04,VIS-001,Viscose Rayon,Viscose,33,1050,Central
2025-10-04,TUL-001,Tulle Net Fabric,Tulle,15,1350,North
2025-10-04,EMB-001,Embroidered Silk,Silk,7,5200,West
2025-10-05,COT-003,Egyptian Cotton Premium,Cotton,42,2200,South
2025-10-05,CAS-001,Cashmere Blend,Cashmere,5,6500,North
2025-10-05,TER-001,Terry Cotton,Cotton,55,850,East
2025-10-06,LAC-001,Lace Fabric,Lace,20,2100,Central
2025-10-06,MUS-001,Muslin Cotton,Muslin,38,780,West
2025-10-06,TAF-001,Taffeta Silk,Taffeta,16,2350,South
2025-10-07,DEN-001,Stretch Denim,Denim,52,1100,North
2025-10-07,SLK-003,Mulberry Silk Pure,Silk,9,4500,East
2025-10-07,CAM-001,Cambric Cotton,Cambric,30,920,Central
2025-10-08,WOL-001,Merino Wool Fabric,Wool,11,3200,West
2025-10-08,GAB-001,Gabardine Wool,Gabardine,14,2650,South
2025-10-08,DUP-001,Dupion Silk,Silk,18,3400,North
2025-10-09,COR-001,Corduroy Fabric,Corduroy,25,1400,East
2025-10-09,FLE-001,Fleece Polyester,Fleece,48,650,Central
2025-10-09,SAT-001,Satin Silk Blend,Satin,27,1900,West
2025-10-10,TWE-001,Tweed Wool Mix,Tweed,13,2800,South
2025-10-10,POP-001,Poplin Cotton,Cotton,36,950,North
2025-10-10,CHN-001,Chino Cotton,Chino,32,1150,East
2025-10-11,VIS-001,Viscose Rayon,Viscose,40,1050,West
2025-10-11,EMB-001,Embroidered Silk,Silk,6,5200,Central
2025-10-11,OXF-001,Oxford Cotton,Oxford,28,1050,South
2025-10-12,CAS-001,Cashmere Blend,Cashmere,4,6500,North
2025-10-12,TER-001,Terry Cotton,Cotton,60,850,West
2025-10-12,PER-001,Percale Cotton,Cotton,35,980,East
2025-10-13,LAC-001,Lace Fabric,Lace,17,2100,South
2025-10-13,TAF-001,Taffeta Silk,Taffeta,21,2350,Central
2025-10-13,SER-001,Serge Wool,Wool,12,2450,North
2025-10-14,COT-003,Egyptian Cotton Premium,Cotton,38,2200,West
2025-10-14,MUS-001,Muslin Cotton,Muslin,44,780,East
2025-10-14,BRO-002,Gold Brocade,Brocade,8,5800,South
2025-10-15,DEN-001,Stretch Denim,Denim,58,1100,Central
2025-10-15,DUP-001,Dupion Silk,Silk,15,3400,North
2025-10-15,FLA-001,Flannel Cotton,Flannel,32,1250,West
