date,sku,product_name,category,quantity_sold,selling_price,region
2025-11-18,COT-001,Premium Cotton Fabric Roll,Cotton,12,1650,North
2025-11-18,SLK-001,Tussar Silk Fabric,Silk,5,3800,West
2025-11-18,LIN-001,Pure Linen Fabric,Linen,8,2400,South
2025-11-19,COT-001,Premium Cotton Fabric Roll,Cotton,15,1650,North
2025-11-19,BRO-001,Banarasi Brocade,Brocade,3,6000,East
2025-11-19,GEO-001,Georgette Fabric,Georgette,10,1300,West
2025-11-20,SLK-002,Chanderi Silk Cotton,Silk,7,3000,Central
2025-11-20,COT-002,Handloom Cotton,Cotton,18,1950,South
2025-11-20,CHF-001,Chiffon Silk,Chiffon,9,1750,North
2025-11-21,KHD-001,Khadi Cotton,Khadi,22,1000,East
2025-11-21,VEL-001,Velvet Fabric,Velvet,4,3500,North
2025-11-21,NET-001,Net Fabric Embroidered,Net,11,1550,West
2025-11-22,RAY-001,Rayon Printed,Rayon,25,900,South
2025-11-22,CRP-001,Crepe Fabric,Crepe,14,1200,Central
2025-11-22,JAC-001,Jacquard Woven,Jacquard,6,2600,North
2025-11-23,ORG-001,Organza Silk,Organza,8,2100,West
2025-11-23,KOT-001,Kota Doria,Cotton,12,1450,East
2025-11-23,ART-001,Art Silk,Silk,16,1050,South
2025-11-24,COT-001,Premium Cotton Fabric Roll,Cotton,20,1650,North
2025-11-24,SLK-001,Tussar Silk Fabric,Silk,6,3800,West
2025-11-24,BAM-001,Bamboo Fabric,Bamboo,5,1850,South
2025-11-25,MOD-001,Modal Fabric,Modal,9,1550,Central
2025-11-25,LIN-001,Pure Linen Fabric,Linen,11,2400,North
2025-11-25,GEO-001,Georgette Fabric,Georgette,15,1300,East
2025-11-26,COT-002,Handloom Cotton,Cotton,17,1950,South
2025-11-26,BRO-001,Banarasi Brocade,Brocade,4,6000,West
2025-11-26,CHF-001,Chiffon Silk,Chiffon,13,1750,North
2025-11-27,SLK-002,Chanderi Silk Cotton,Silk,8,3000,Central
2025-11-27,VEL-001,Velvet Fabric,Velvet,6,3500,North
2025-11-27,KHD-001,Khadi Cotton,Khadi,28,1000,East
2025-11-28,RAY-001,Rayon Printed,Rayon,30,900,South
2025-11-28,NET-001,Net Fabric Embroidered,Net,10,1550,West
2025-11-28,CRP-001,Crepe Fabric,Crepe,12,1200,North
2025-11-29,JAC-001,Jacquard Woven,Jacquard,7,2600,Central
2025-11-29,ORG-001,Organza Silk,Organza,9,2100,West
2025-11-29,ART-001,Art Silk,Silk,20,1050,East
2025-11-30,COT-001,Premium Cotton Fabric Roll,Cotton,25,1650,North
2025-11-30,SLK-001,Tussar Silk Fabric,Silk,8,3800,South
2025-11-30,KOT-001,Kota Doria,Cotton,15,1450,West
2025-12-01,BAM-001,Bamboo Fabric,Bamboo,7,1850,Central
2025-12-01,MOD-001,Modal Fabric,Modal,11,1550,North
2025-12-01,LIN-001,Pure Linen Fabric,Linen,14,2400,East
