Productid,ProductCategory,Occasion,Material,Karigari,Karigari_description,Product_description,Full_Description
100,Sarees,Festive,Pure silk,Zariwork,"Traditional Indian embroidery using fine metallic threads, often gold or silver, to create rich, ornate designs.","Iconic Indian draped garments offering timeless elegance, available in rich fabrics and adorned with intricate designs.",Sarees-Festive-Pure silk
101,Sarees,Festive,Pure silk,Swarovski,"High-quality, precision-cut crystals that create a dazzling and sophisticated appearance on garments.","Iconic Indian draped garments offering timeless elegance, available in rich fabrics and adorned with intricate designs.",Sarees-Festive-Pure silk
102,Sarees,Festive,Pure silk,Sequins,"Tiny, flat, reflective embellishments sewn onto fabric to create a shimmering effect, perfect for festive attire.","Iconic Indian draped garments offering timeless elegance, available in rich fabrics and adorned with intricate designs.",Sarees-Festive-Pure silk
103,Sarees,Festive,Georgette,Zariwork,"Traditional Indian embroidery using fine metallic threads, often gold or silver, to create rich, ornate designs.","Iconic Indian draped garments offering timeless elegance, available in rich fabrics and adorned with intricate designs.",Sarees-Festive-Georgette
104,Sarees,Festive,Georgette,Swarovski,"High-quality, precision-cut crystals that create a dazzling and sophisticated appearance on garments.","Iconic Indian draped garments offering timeless elegance, available in rich fabrics and adorned with intricate designs.",Sarees-Festive-Georgette
105,Sarees,Festive,Georgette,Sequins,"Tiny, flat, reflective embellishments sewn onto fabric to create a shimmering effect, perfect for festive attire.","Iconic Indian draped garments offering timeless elegance, available in rich fabrics and adorned with intricate designs.",Sarees-Festive-Georgette
106,Sarees,Festive,Semi crepe,Zariwork,"Traditional Indian embroidery using fine metallic threads, often gold or silver, to create rich, ornate designs.","Iconic Indian draped garments offering timeless elegance, available in rich fabrics and adorned with intricate designs.",Sarees-Festive-Semi crepe
107,Sarees,Festive,Semi crepe,Swarovski,"High-quality, precision-cut crystals that create a dazzling and sophisticated appearance on garments.","Iconic Indian draped garments offering timeless elegance, available in rich fabrics and adorned with intricate designs.",Sarees-Festive-Semi crepe
108,Sarees,Festive,Semi crepe,Sequins,"Tiny, flat, reflective embellishments sewn onto fabric to create a shimmering effect, perfect for festive attire.","Iconic Indian draped garments offering timeless elegance, available in rich fabrics and adorned with intricate designs.",Sarees-Festive-Semi crepe
109,Sarees,Mehendi,Pure silk,Zariwork,"Traditional Indian embroidery using fine metallic threads, often gold or silver, to create rich, ornate designs.","Iconic Indian draped garments offering timeless elegance, available in rich fabrics and adorned with intricate designs.",Sarees-Mehendi-Pure silk
110,Sarees,Mehendi,Pure silk,Swarovski,"High-quality, precision-cut crystals that create a dazzling and sophisticated appearance on garments.","Iconic Indian draped garments offering timeless elegance, available in rich fabrics and adorned with intricate designs.",Sarees-Mehendi-Pure silk
111,Sarees,Mehendi,Pure silk,Sequins,"Tiny, flat, reflective embellishments sewn onto fabric to create a shimmering effect, perfect for festive attire.","Iconic Indian draped garments offering timeless elegance, available in rich fabrics and adorned with intricate designs.",Sarees-Mehendi-Pure silk
112,Sarees,Mehendi,Georgette,Zariwork,"Traditional Indian embroidery using fine metallic threads, often gold or silver, to create rich, ornate designs.","Iconic Indian draped garments offering timeless elegance, available in rich fabrics and adorned with intricate designs.",Sarees-Mehendi-Georgette
113,Sarees,Mehendi,Georgette,Swarovski,"High-quality, precision-cut crystals that create a dazzling and sophisticated appearance on garments.","Iconic Indian draped garments offering timeless elegance, available in rich fabrics and adorned with intricate designs.",Sarees-Mehendi-Georgette
114,Sarees,Mehendi,Georgette,Sequins,"Tiny, flat, reflective embellishments sewn onto fabric to create a shimmering effect, perfect for festive attire.","Iconic Indian draped garments offering timeless elegance, available in rich fabrics and adorned with intricate designs.",Sarees-Mehendi-Georgette
115,Sarees,Mehendi,Semi crepe,Zariwork,"Traditional Indian embroidery using fine metallic threads, often gold or silver, to create rich, ornate designs.","Iconic Indian draped garments offering timeless elegance, available in rich fabrics and adorned with intricate designs.",Sarees-Mehendi-Semi crepe
116,Sarees,Mehendi,Semi crepe,Swarovski,"High-quality, precision-cut crystals that create a dazzling and sophisticated appearance on garments.","Iconic Indian draped garments offering timeless elegance, available in rich fabrics and adorned with intricate designs.",Sarees-Mehendi-Semi crepe
